sectors IndianLa on ch 77,Microwav on ch 77, cost =0.004
sectors IndianLa on ch 77,RogersM1 on ch 77, cost =0.039
sectors JohnsonH on ch 39,RoundMT3 on ch 39, cost =0.002
sectors KeelMTN  on ch **,Talbot3  on ch **, cost =0.010
sectors Leban11  on ch 10,Albany12 on ch 10, cost =0.006
sectors Leban11  on ch 10,Rodgers1 on ch 10, cost =0.004
sectors Leban11  on ch 10,WardB2   on ch 10, cost =0.068
sectors Leban12  on ch 29,Albany42 on ch 29, cost =0.003
sectors Leban12  on ch 25,RadioTow on ch 25, cost =0.003
sectors Leban12  on ch 25,StatePar on ch 25, cost =0.050
sectors Leban21  on ch 21,ABAA0002 on ch 21, cost =0.151
sectors Leban21  on ch 93,Leban31  on ch 92, cost =0.006
sectors Leban21  on ch 21,Rodgers1 on ch 21, cost =0.004
sectors Leban21  on ch 93,Tangent1 on ch 93, cost =0.014
sectors Leban21  on ch **,Tangent1 on ch **, cost =0.014
sectors Leban31  on ch 92,Leban21  on ch 93, cost =0.002
sectors Microwav on ch **,GravelP2 on ch **, cost =0.007
sectors Microwav on ch 77,IndianLa on ch 77, cost =0.014
sectors Microwav on ch 77,RogersM1 on ch 77, cost =0.030
sectors Neal     on ch 20,Albany23 on ch 20, cost =0.002
sectors Neal     on ch 20,Talbot2  on ch 20, cost =0.013
sectors Neal     on ch 20,WardB1   on ch 20, cost =0.007
sectors RadioTow on ch 25,Albany11 on ch 25, cost =0.003
sectors RadioTow on ch 25,StatePar on ch 25, cost =0.040
sectors ABAC0001 on ch 45,ABAA0001 on ch 45, cost =0.003
sectors ABAC0001 on ch 97,Albany51 on ch 97, cost =0.009
sectors ABAC0001 on ch 45,RogersM1 on ch 44, cost =0.006
sectors Rodgers1 on ch 21,ABAA0002 on ch 21, cost =0.021
sectors Rodgers1 on ch 10,Leban11  on ch 10, cost =0.008
sectors Rodgers1 on ch 21,Neal     on ch 20, cost =0.003
sectors Rodgers1 on ch 10,WardB2   on ch 10, cost =0.004
sectors RogersM1 on ch 77,IndianLa on ch 77, cost =0.003
sectors RogersM1 on ch 77,Microwav on ch 77, cost =0.044
sectors RogersM1 on ch 69,WardB1   on ch 69, cost =0.009
sectors RogersM2 on ch 58,Albany11 on ch 58, cost =0.006
sectors RoundMT1 on ch 34,FernRidg on ch 34, cost =0.026
sectors RoundMT3 on ch  8,FernRidg on ch  8, cost =0.003
sectors StatePar on ch 80,Albany13 on ch 80, cost =0.002
sectors StatePar on ch 25,Leban12  on ch 25, cost =0.022
sectors StatePar on ch 25,RadioTow on ch 25, cost =0.018
sectors SweetHom on ch 87,CedarB2  on ch 87, cost =0.017
sectors SweetHom on ch 45,ABAC0001 on ch 45, cost =0.002
sectors Talbot2  on ch 20,Neal     on ch 20, cost =0.046
sectors Talbot2  on ch 20,Rodgers1 on ch 21, cost =0.002
sectors Talbot2  on ch 20,WardB1   on ch 20, cost =0.004
sectors Talbot3  on ch **,ABAA0002 on ch **, cost =0.089
sectors Talbot3  on ch **,KeelMTN  on ch **, cost =0.027
sectors Talbot3  on ch **,Microwav on ch **, cost =0.005
sectors Tangent1 on ch 93,Leban21  on ch 93, cost =0.002
sectors Tangent1 on ch **,Leban21  on ch **, cost =0.002
sectors Tuisa    on ch 15,ABAB0001 on ch 15, cost =0.008
sectors WardB1   on ch 20,ABAA0002 on ch 21, cost =0.002
sectors WardB1   on ch 20,Neal     on ch 20, cost =0.015
sectors WardB1   on ch 69,RogersM1 on ch 69, cost =0.109
sectors WardB2   on ch 10,BaldPete on ch 10, cost =0.003
sectors WardB2   on ch 10,Leban11  on ch 10, cost =0.054
sectors WardB2   on ch 10,Rodgers1 on ch 10, cost =0.008
  total cost =   2.324811    
